id,original,edit,meanGrade,pred
3409,CNN 's Jake Tapper to <interview/> Paul Ryan following retirement announcement,wrestle,2.8,1.13506
9532,Sean Spicer ca n’t get a network job “ due to lack of <credibility/> ”,toothpaste,2.8,1.299198
748,"Trump speaks on Scalise shooting , calling for unity and <working/> together for the common good",sleeping,2.8,1.013815
6181,Trump : U.S. has ' no choice ' but to deal with North Korea <arms/> challenge,kimchi,2.6,1.422944
4182,"Bill Gates wants to <tax/> robots , but the EU says , ' no way , no way '",marry,2.6,1.54487
4859,4 arrested in Sydney raids to stop terrorist <attack/> ,kangaroo,2.6,1.114022
12460,White House says Trump believes in a ' free-floating ' <currency/> ,hoverboard,2.6,1.073417
1599,White House spokesman does not rule out Trump-Putin July <meeting/> in Germany,cuddling,2.6,1.94994
4980,CBS Poll : Americans lack confidence in Trump 's ability to handle <North Korea/> ,crayon,2.6,1.350952
10836,Ben Shapiro : Americans more tolerant but hate each other 's <politics/> ,meatloaf,2.6,1.256368
4842,"Donald Trump claims Barack Obama ordered ' wire tap ' on <Trump Tower/> , but provides no evidence",toupee,2.6,1.326366
13632,"Jfk File : Fbi <Monitored/> Martin Luther King 's ' Abnormal ' Sex Life of Orgies , Hookers and Joan Baez",Enjoyed,2.6,0.508878
2654,Secret <Service/> likely would n't have intervened in Trump Jr.-Russia meeting,Santa,2.6,0.849686
1049,Becerra vows to fight pot <crackdown/> : ' They have tripped over themselves and given us opportunities to legally stop them ',heads,2.6,0.860281
8162,Call Voter ID Laws What They Are - Attempts to Suppress <Minority/> Voices,Falsetto,2.6,0.669583
5940, <Affirmative Action/> : Now More Than Ever,Booze,2.6,1.064086
11076,The Kremlin says Putin and Trump <agreed/> during phone call to step up U.S.-Russian diplomatic efforts on Syria .,rapped,2.6,1.556551
12561,Scientists appeal for more people to <donate/> their brains - BBC News,use,2.5,1.127524
10988,Britain 's youngest Euromillions winner plans to sue lottery bosses for ' ruining ' her <life/> ,buzz,2.4,1.007264
13134,A new report says Trump demanded Comey ’s <loyalty/> . That could be devastating .,pizza,2.4,1.605006
9406,"Man Sets Off Explosive Device at L.A.-Area Cheesecake Factory , No <Injuries/> ",complaints,2.4,0.624635
6262,Trump offers ' congratulations ' to <America/> on anniversary of Mueller investigation,himself,2.4,0.873437
2575,CBS Poll : Americans lack confidence in Trump 's ability to handle <North Korea/> ,spaghetti,2.4,1.470861
10164,"NFL players union vows Donald Trump <comments/> will not deter stand on protests , safety",wigs,2.4,1.633338
8594,Donald Trump <Blasts/> Reporters at Trump Tower For One-Sided Charlottesville Reporting,Moons,2.4,0.665888
9673,Americans living in rural areas more likely to die by <suicide/> ,boredom,2.4,0.897356
12271,Turkey tells <citizens/> to reconsider travelling to US,poultry,2.4,0.815905
9838,"Donald Trump claims Barack Obama ordered ' <wire/> tap ' on Trump Tower , but provides no evidence",beer,2.4,1.453682
9555,"Charlie Rose fired by CBS , and PBS drops his <talk/> show over sexual harassment allegations",striptease,2.4,1.661886
2194,Trump 's Official Portrait Resembles a <Smiley/> Emoji,Smelly,2.4,1.416007
11879,Rand Paul : ObamaCare replacement goal is to <insure/> most people at lowest cost,Kill,2.4,0.940719
2677,Ben Carson Said Trans <People/> In Homeless Shelters Make Others ' Not Comfortable ',vampires,2.4,1.132326
13383,"Bill Gates wants to <tax/> robots , but the EU says , ' no way , no way '",dress,2.4,1.300222
6704,Trump Once Again Invites Questions And Doubts About His <Stability/> ,hairdresser,2.4,1.433364
10910,Gov. Kasich slams President Trump 's move on <health/> care subsidies,haircut,2.4,1.57234
14517,The dark side of Trump 's much-hyped China <trade/> deal : It could literally make you sick,Sushi,2.4,1.350924
12685,CBS Poll : Americans lack confidence in Trump 's ability to <handle/> North Korea,locate,2.4,0.778268
1945,Gov. Kasich slams President Trump 's move on <health/> care subsidies,hair,2.4,1.816159
5222,Over 900 US career diplomats protest Trump <order/> ,tan,2.4,1.35211
1538,Trump believes he has legal authority to <fire/> Robert Mueller,pet,2.4,1.457873
2055,Pakistan postpones U.S. visit after Trump <speech/> ,haircut,2.4,1.687091
1041,"Mac users , you need to change your <passwords/> immediately !!",underwear,2.3,1.75996
1393,Kennedy stays quiet on whether he 'll <retire/> at end of Supreme Court term,party,2.3,1.152137
6405,Man jailed for 22 years for <stealing/> a television remote,hogging,2.2,0.993705
10770,Thousands of <Israelis/> took to the streets of Tel Aviv to accuse Prime Minister Benjamin Netanyahu of corruption,chickens,2.2,0.900248
779,Trump Says He Does n't Want Poor <People/> In Charge Of The Economy,Spellers,2.2,1.119045
13405,Hillary Clinton ’s big problem was n’t bad data — it was bad <politics/> ,breath,2.2,1.024743
9457,"No , Hillary Clinton did not "" give Russia 20 percent of the <uranium/> ” in the US",vodka,2.2,1.165895
108,Maddow warns of ' perception ' Trump ordered strikes to distract from <scandals/> ,haircut,2.2,1.669383
1846,James Corden says he <regrets/> Spicer kiss,enjoyed,2.2,0.996934
13372,"Merry Christmas , Vladimir — Your <Friend/> , Donald",Lover,2.2,1.012275
2009,"S &amp; amp ; amp ;P downgrades China 's <rating/> , citing increasing economic , financial risks",Takeout,2.2,0.961857
11697,Trump says <Venezuela/> 's ' a mess ',bedroom,2.2,1.042571
10237,A judge ruled this <veteran/> is a US citizen . Now he faces deportation to Mexico,cat,2.2,1.198153
3077," <Official/> who works closely with Jared Kushner , Ivanka Trump to leave White House",Monkey,2.2,0.968025
258, <Contradictions/> add up during Trump 's Saudi visit,Hamburgers,2.2,0.997986
2001,The White House says Putin and Trump will not have a private <meeting/> in Vietnam,dance,2.2,1.652547
14116,"Amazon , Facebook and Google could save <billions/> thanks to the GOP tax bill",pennies,2.2,0.717028
2353," <Taylor/> Impresses Trump for Fed Chairman , Warsh Slips",monkey,2.2,1.02848
11081,"Just One GOP Senator Voted To Block Legislation Cutting Social Security , Medicare And <Medicaid/> ",bingo,2.2,1.269621
13265,The Kremlin says Putin and Trump agreed during <phone/> call to step up U.S.-Russian diplomatic efforts on Syria .,booty,2.2,1.248844
10541,"Another Day , Another Tweet From Your President About How Much He Hates <Women/> ",Exercise,2.2,1.105555
9811,Trump ’s <racism/> is n’t incidental to his political appeal . It ’s the core of it .,hairstyle,2.2,1.88507
15074,Radio host scolded for <criticizing/> President Trump resigns,bathing,2.2,1.397181
3341,Is 5G technology dangerous ? Early data shows a slight increase of <tumors/> in male rats exposed to cellphone radiation,selfies,2.2,1.051629
10049,"Mexican bank intervenes after woman , 116 , deemed ' too old ' for <card/> ",kindergarten,2.2,1.13764
10720,CA Poll : Plurality Disapprove of Pelosi <Job/> Performance,rap,2.2,0.690035
3796,Sean Hannity has become the media ’s top <conspiracy/> theorist,alien,2.2,0.96276
1633,Trump Once Again Invites Questions And Doubts About His <Stability/> ,haircut,2.2,1.82663
7358,"Sen. Rand Paul assaulted at his Kentucky home , <man/> arrested",toddler,2.2,0.926213
12961,"Following backlash , US clarifies UN vote on "" <death/> penalty for gays """,fashion,2.2,1.047666
3785,Turkey 's president : Trump told me he 's ' sorry ' about <violence/> involving Turkish bodyguards in DC,orgy,2.2,1.564914
7709,Moscow storm : 11 killed as high <winds/> strike Russian capital,stoners,2.2,1.004084
11400,Trump says <Venezuela/> 's ' a mess ',Bedroom,2.2,1.389053
9511,"Photos of the Syria strike appear to show missile interceptors firing blindly , totally failing to stop <missile/> attack",spitball,2.2,1.089698
7957, <Affirmative Action/> : Now More Than Ever,hemorrhoids,2.2,0.815138
10584,Poll Shows Most Doubt Trump 's Respect for <Institutions/> ,Wife,2.2,1.139561
13283,Fla . Gov. Rick Scott expected in Washington to <raise/> money for widely anticipated Senate run,waste,2.2,0.689776
5702,Donald Trump on <Gangs/> : ‘ They Are Getting the Hell out or They Are Going to Prison ’,cats,2.2,1.063911
1248,What would happen if Trump sparked a <trade/> war with China ?,thumb,2.2,1.25655
6361,"Sen. Rand Paul assaulted at his Kentucky home , <man/> arrested",baboon,2.2,1.24984
13151,White House staff to throw Spicer a <farewell/> party,pizza,2.2,1.490709
12299,President Trump is running an empty <government/> ,casino,2.2,0.913887
3879,Why Joe Biden and Elizabeth Warren Are Eyeing <Ohio/> in 2018,Marriage,2.2,1.036252
12541,California governor scans wildfire damage and <blasts/> Trump for Paris climate pullout,strangles,2.2,0.708225
8205,Bernie Sanders Fined for Colluding with <Australian Labor Party/> ,Kangaroos,2.2,0.95474
14163,Why Elizabeth Warren is no longer the darling of the <left/> ,circus,2.2,1.028866
4184,"“ Trump ’s problem child ” : Mark Levin , Alex Jones rage against Ivanka after her “ uncomfortable <embrace/> of refugees ”",purchase,2.2,0.944272
1321,"Cohen Remains Trump 's <Lawyer/> Despite Probe , Spokesman Says",urologist,2.0,1.075944
12015,Trump to <decide/> ‘ very quickly ’ on US pullout from Syria,tweet,2.0,0.528672
13723,Chaffetz questions whether Comey <memos/> are ' actually there ',brains,2.0,0.991934
6193,Karl : <Sources/> close to president say it may be time for Kushner to take leave of absence,Zombies,2.0,0.760313
5688,Scientists appeal for more people to <donate/> their brains - BBC News,eat,2.0,1.34056
13751,Estonian moms are training to <fight/> Russia 's little green men,marry,2.0,1.202991
8366, <Gambling/> on Trump is ' huge ' in UK,Spitting,2.0,1.292855
11643,Report : Trump wants Maine 's LePage to run for <Senate/> ,hills,2.0,1.059634
5820,Feds In ' Heightened Posture ' Over <Hackers/> Who May Target Today 's Alabama Election,Streakers,2.0,0.72406
6573,The Latest : Trump lauds deal on GOP <tax/> cuts,integrity,2.0,0.736032
13832,UK set to ban <laptops/> on flights from Middle East countries,pillows,2.0,1.190559
6351,Trump Says He Passed On Being ' <Person/> Of The Year . ' ' Time ' Says He 's ' Incorrect ',puppet,2.0,0.786527
8105,"White House staff shakeup coming after recent leaks , says <Kellyanne Conway/> ",plumber,2.0,0.596668
10730,Zuckerberg and Sandberg will reportedly stay quiet on Cambridge Analytica until after <audit/> ,nap,2.0,1.063943
8257,The GOP Health Care <Effort/> is Unraveling,Sweater,2.0,0.705379
13562,Read : President Donald Trump ’s first <speech/> to Congress,screech,2.0,1.032198
6841,Can Trump Claim Credit for a Waning <Islamic State/> ?,libido,2.0,1.513567
1318,Donald Trump will spark a <war/> in the Middle East with Iran – which is great news for Isis,romance,2.0,1.068938
4647,Watch The DNC <Debate/> Live,Debacle,2.0,0.455444
1191,Trump ’s <Trade/> War With Canada,thumb,2.0,0.906645
12757,Turkey tells <citizens/> to reconsider travelling to US,chickens,2.0,1.008385
6125,"Helmut Kohl , <chancellor/> who reunited Germany , dies at 87",clown,2.0,1.141122
2601,White House struggles to contain Flynn <fallout/> ,flatulence,2.0,1.585478
12250,CNN files lawsuit seeking Comey 's Trump <memos/> ,poems,2.0,0.847973
8661,China 's President Xi Jinping arrives in Florida for Trump <talks/> .,mumbling,2.0,1.209244
2730,CNN Poll : Three-quarters of Americans approve of Trump 's plans to <meet/> with Kim Jong-Un,dance,2.0,1.79923
1112,Will António Guterres be the UN 's best ever <secretary/> general ?,fashion,2.0,0.919569
3351,Obama library 's public <cost/> estimated at $ 175M : report,fine,2.0,0.445675
11992,Appeals Court Panel Appears Skeptical of Trump 's <Travel/> Ban,deodorant,2.0,1.581396
8688,Americans living in rural areas more likely to die by <suicide/> ,chocolate,2.0,0.967284
7413,Election analysts move Ryan seat toward Dems after his <retirement/> ,prom,2.0,1.073299
5136,"Trump administration toughens policy toward ' <sanctuary/> ' cities , but the move affects only some funds",mythological,2.0,0.647974
11792,America 's military wo n't save us from Trump 's <fascism/> ,hair,2.0,2.098546
13354,Russian special <forces/> sent to back renegade Libyan general – reports,sauce,2.0,0.879675
10898,This John Brennan quote on Russia just made Donald Trump 's <life/> much harder,pants,2.0,1.486149
781,Trump ’s Plan To Kick Out Mexican <Immigrants/> Will Absolutely Need Mexican Cooperation,food,2.0,1.307034
1506,Donald Trump will spark a war in the Middle East with <Iran/> – which is great news for Isis,mummies,2.0,1.407782
3232,"Man Sets Off Explosive <Device/> at L.A.-Area Cheesecake Factory , No Injuries",breakdance,2.0,1.217509
9464," <Trump/> Could Use Military To Launch His Own Coup , Warns Former White House Ethics Lawyer",Chickens,2.0,0.974154
6927,Iranian general threatens to ' <bury/> ' Donald Trump,wedgie,2.0,1.30596
5642,"Report : CBS , PBS Knew About Charlie Rose ’s Alleged Sexual <Misconduct/> for Years",dysfunction,2.0,1.271326
1179,James Comey left a <paper/> trail : Memo reportedly reveals Trump asked FBI to end Flynn investigation,snail,2.0,1.053457
1820,"Trump Paid About $ 38 Million In Federal <Taxes/> In 2005 , Leaked Returns Say",Bribes,2.0,0.702332
11810, <Trump/> willing to pursue ' temporary deal ' on healthcare,Zombies,2.0,0.771383
1686,President Trump is running an empty <government/> ,head,2.0,1.030772
3913,White House spokesman does not rule out Trump-Putin July <meeting/> in Germany,date,2.0,1.270825
3242,Bannon Plans to <Back/> Challengers to Most GOP Senators,clone,2.0,0.903933
13613,Trump ’s <Rhetoric/> Helpless Against Rise of Trade Deficit With China,brain,2.0,0.656227
3681,Lawsuit Says It 's Unconstitutional For President Trump To Block <Critics/> On Twitter,self,2.0,1.15241
