id,pred
61-5576,0
61-11943,0
5576-11943,0
12581-9120,0
3605-11504,0
3605-1823,0
11504-1823,0
201-9646,0
6121-3813,0
6121-4915,0
3813-4915,0
705-670,0
705-6402,0
670-6402,0
4317-3098,0
4317-12652,0
3098-12652,0
11257-7746,0
11257-10196,0
7746-10196,0
7931-14469,0
7931-8325,0
14469-8325,0
10875-2618,0
10875-489,0
2618-489,0
6091-10147,0
6091-4568,0
10147-4568,0
10238-6888,0
1351-8799,0
1351-11685,0
8799-11685,0
4552-3064,0
5386-4228,0
5386-2405,0
4228-2405,0
3549-994,0
3549-9586,0
994-9586,0
6786-9283,0
6786-4611,0
9283-4611,0
9039-11479,0
9039-7750,0
11479-7750,0
14691-6330,0
14691-609,0
6330-609,0
2437-7883,0
2437-6825,0
7883-6825,0
7742-3257,0
7742-11875,0
3257-11875,0
13525-7371,0
13525-13006,0
7371-13006,0
10978-12279,0
10978-9062,0
12279-9062,0
13753-12553,0
13753-9475,0
12553-9475,0
1770-3321,0
1770-12396,0
3321-12396,0
8421-3030,0
8421-709,0
3030-709,0
12851-1102,0
12851-822,0
1102-822,0
12868-12845,0
12868-3804,0
12845-3804,0
11163-12744,0
11163-3851,0
12744-3851,0
1731-3733,0
1731-1073,0
3733-1073,0
8082-10187,0
8082-6660,0
10187-6660,0
10867-6555,0
10867-2324,0
6555-2324,0
11133-3518,0
11133-11970,0
3518-11970,0
368-5618,0
368-12885,0
5618-12885,0
9754-4686,0
9754-12909,0
4686-12909,0
2846-3357,0
2846-14982,0
3357-14982,0
4294-11032,0
4294-3402,0
11032-3402,0
5110-10266,0
5110-2907,0
10266-2907,0
13191-9079,0
13191-14204,0
9079-14204,0
5868-5055,0
5868-6837,0
5055-6837,0
4242-5905,0
4242-15005,0
5905-15005,0
12787-13810,0
12787-3161,0
13810-3161,0
11065-11007,0
11065-9018,0
11007-9018,0
9903-6785,0
9903-13735,0
6785-13735,0
263-203,0
263-12881,0
203-12881,0
13246-1236,0
13246-13240,0
1236-13240,0
636-7416,0
636-13002,0
7416-13002,0
4832-1277,0
4832-13600,0
1277-13600,0
7942-1474,0
7942-4235,0
1474-4235,0
6307-10374,0
10389-10742,0
10389-14863,0
10742-14863,0
7986-6620,0
7986-4079,0
6620-4079,0
9225-4964,0
9225-1898,0
4964-1898,0
6293-11679,0
6293-220,0
11679-220,0
2565-10682,0
2565-1804,0
10682-1804,0
2168-15017,0
2168-11622,0
15017-11622,0
5686-8639,0
5686-5867,0
8639-5867,0
3062-11979,0
3062-6111,0
11979-6111,0
870-14473,0
870-13221,0
14473-13221,0
11984-7122,0
11984-5094,0
7122-5094,0
6850-10575,0
6850-5443,0
10575-5443,0
12747-14144,0
12747-695,0
14144-695,0
6780-14066,0
6780-7462,0
14066-7462,0
11304-14236,0
11304-6949,0
14236-6949,0
13304-5692,0
13304-3567,0
5692-3567,0
11219-12310,0
11219-11574,0
12310-11574,0
3689-14979,0
3689-124,0
14979-124,0
11535-1001,0
11535-2277,0
1001-2277,0
7777-1072,0
7777-7007,0
1072-7007,0
12825-2861,0
12825-14511,0
2861-14511,0
6644-11361,0
6644-9996,0
11361-9996,0
7427-2231,0
7427-4368,0
2231-4368,0
8383-4496,0
8383-14772,0
4496-14772,0
6432-13470,0
6432-1316,0
13470-1316,0
10757-8909,0
10757-14938,0
8909-14938,0
4027-1539,0
4027-5745,0
1539-5745,0
14778-7642,0
5081-1295,0
5081-9728,0
1295-9728,0
817-4997,0
817-2936,0
4997-2936,0
727-12019,0
727-6490,0
12019-6490,0
418-217,0
418-6548,0
217-6548,0
7410-5291,0
